"If log 27 = 1.431, then the value of log 9 is:",0.934,0.945,0.954,0.958,0.954
"If log10 2 = 0.3010, the value of log10 80 is:",1.602,1.903,3.903,None of these,1.903
"In a 100 m race, A can give B 10 m and C 28 m. In the same race B can give C:",18 m,20 m,27 m,9 m,20 m 
"In a 500 m race, the ratio of the speeds of two contestants A and B is 3 : 4. A has a start of 140 m. Then, A wins by:",60 m,40 m,20 m,10 m,20 m 
"At a game of billiards, A can give B 15 points in 60 and A can give C to 20 points in 60. How many points can B give C in a game of 90?",30 pts,20 pts,10 pts,12 pts,10 pts
"In a race of 200 m, A can beat B by 31 m and C by 18 m. In a race of 350 m, C will beat B by:",22.25m,25 m,19 m,17 m,25 m
"In a game of 100 points, A can give B 20 points and C 28 points. Then, B can give C:",8 points,10 points,14 points,40 points,14 points
In a 300 m race A beats B by 22.5 m or 6 seconds. B's time over the course is:,86 sec,80 sec,76 sec ,None of these,80 sec 



